collection,venueType,feature,category,definition
access-control,,access-control,badgereader,
access-control,,access-control,fingerprintreader,
access-control,,access-control,guard,
access-control,,access-control,keyaccess,
access-control,,access-control,outofservice,Describes the operational status of an Opening or a Unit described in a Relationship.
access-control,,access-control,passwordaccess,
access-control,,access-control,retinascanner,
access-control,,access-control,voicerecognition,
accessibility,,accessibility,assisted.listening,Describes the presence of an assisted listening service.
accessibility,,accessibility,assisted.listening,Describes the presence of an assisted listening service. Should be used when the type of assisted listening service is unknown.
accessibility,,accessibility,braille,"Indicates the presence of a device, service, equipment or physical environment that is designed for a pedestrian that is visually impaired."
accessibility,,accessibility,hearing,Describes the presence of a service provided to a pedestrian with a hearing disability.
accessibility,,accessibility,hearing,Describes the presence of a service provided to a pedestrian with a hearing disability. 
accessibility,,accessibility,hearingloop,Describes the presence of a telephone that offers a Hearing Loop.
accessibility,,accessibility,signlanginterpreter,Describes the presence of a sign language interpreter service.
accessibility,,accessibility,tactilepaving,Describes the presence of a ground surface that is provided to a pedestrian with a sight disability.
accessibility,,accessibility,tdd,Describes the presence of a telephone device for the deaf which is a device used for text communications along a telephone line.
accessibility,,accessibility,trs,Describes the presence of a Telecommunications Relay Service which is a telephone service that allows persons with hearing or speech disabilities to place and receive telephone calls.
accessibility,,accessibility,volume,Describes the presence of a specialized telephone for persons with impaired hearing.
accessibility,,accessibility,wheelchair,Describes the presence of a building function that is offered to persons that experience disabilities.
accessibility,,accessibility,wheelchair,"Indicates the presence of a device, service, equipment or physical environment that is provided to a pedestrian with a mobility disability."
amenity,,amenity,amphitheater,Models the presence and approximate point location of an amphitheater.
amenity,,amenity,animalreliefarea,"A convenience area for service animal relief, often be equipped with water bowls and animal toiletries"
amenity,,amenity,animalreliefarea,Models the presence and approximate point location of a Service Animal Relief Area (SARA) or domestic pet relief area.
amenity,,amenity,arrivalgate,"Models the presence and approximate point location of an arrivals gate operation. In certain airports around the world, arrival gates are separately sign-posted from boarding gates."
amenity,,amenity,atm,
amenity,,amenity,babychanging,"Location for the specific purpose of changing a baby, does not contain bathroom facilities."
amenity,,amenity,baggagecarousel,Models the presence and approximate point location of an individual Baggage Carousel.
amenity,,amenity,baggagecarousel.intl,Models the presence and approximate point location of an individual Baggage Carousel that is either dedicated or timed to support international arrival operations.
amenity,,amenity,baggagecarts,Models the presence and approximate point location of a baggage/luggage trolley system.
amenity,,amenity,baggageclaim,Models the presence and approximate thematic extent of an open or semi-enclosed environment containing a baggage claim operation.
amenity,,amenity,baggageclaim.oversize,"Models the presence and approximate point location of a baggage claim area, desk, or service where special or oversized baggage may be re-claimed. Examples of oversized items include: Golf clubs, skis, lacrosse/hockey sticks and other sporting equipment. Also, pets traveling in crates."
amenity,,amenity,baggagerecheck,Models the presence and approximate point location of a baggage recheck service.
amenity,,amenity,baggagestorage,Models the presence and approximate point location of a baggage service or facility where baggage may be temporarily stored.
amenity,,amenity,boardinggate,Models the presence and approximate point location of a boarding gate operation. `boardinggate` should be used when a location cannot be classified using any other category in the hierarchy. `boardinggate` is not further defined in IMDF.
amenity,,amenity,boardinggate.aircraft,Models the presence and approximate point location of an aircraft boarding gate operation.
amenity,,amenity,boardinggate.bus,Models the presence and approximate point location of a bus boarding gate operation.
amenity,,amenity,boardinggate.ferry,Models the presence and approximate point location of a ferry boarding gate operation.
amenity,,amenity,boardinggate.train,Models the presence and approximate point location of a traint boarding gate operation.
