feature,severity,rule,definition
Address,Violation,AddressMustBeReferenced,Validates that an Address record is referenced by a feature.
Address,Violation,AddressMustHaveAddressLine,Validates that an Address has an address line.
Address,Violation,AddressMustHaveCountryCode,Validates that an Address has a country code.
Address,Violation,AddressMustHaveLocality,Validates that an Address has a locality.
Address,Violation,AddressMustHaveProvinceCode,Validates that an Address has a province code.
Address,Violation,InvalidCountryCode,Validates that a country code is a valid ISO-3166 value.
Address,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Address,Violation,InvalidIsoProvinceCode,Validates that a province code is a valid ISO-3166-2 value.
Address,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Address,Warning,AddressHasDissimilarProvinceCode,Validates that Addresses have dissimilar province codes.
Address,Warning,AddressMustBeDistinct,Validates that Addresses are distinct.
Address,Warning,AddressShouldHavePostalCode,Validates that an Address has a postal code.
Address,Warning,ZeroCountOfUnitQualifiedAddresses,Validates that a delivery has at least one unit-qualified Address.
Amenity,Violation,AccessibilityMustBeValid,Validates the accessibility category assigned to the feature.
Amenity,Violation,AmenityCategoryMustBeValid,Validates the category assigned to an Amenity.
Amenity,Violation,AmenityMustHaveCategory,Validates that an Amenity has a category value.
Amenity,Violation,AmenityMustHavePointGeometry,Validates that an Amenity is a Point geometry.
Amenity,Violation,CorrelationIdMustBeMatched,Validates that a correlation ID is matched by at least one other feature's correlation ID in the same feature-type.
Amenity,Violation,InvalidAddressReference,Validates the integrity of an Address reference.
Amenity,Violation,InvalidCorrelationID,Validates that a correlation ID is a valid v4 UUID value.
Amenity,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Amenity,Violation,InvalidUnitReference,Validates the integrity of a Building reference.
Amenity,Violation,LevelIDsMustBeDissimilarForCorrelationID,"Validates that features from the same feature-type, whose correlation ID match, possess dissimilar level id values."
Amenity,Violation,PointMustNotTouchLine,"Validates that a feature-type, whose geometry type is Point, does not touch a Line-String or Multi-Line String."
Amenity,Violation,StringMustNotBeZeroLength,Validates that an emtpy string is not present.
Amenity,Warning,AltNameLangTagHasNoCorrespondingNameLangTag,Validates that a language tag associated with an `alt_name` has a corresponding presence and association with a `name` value.
Amenity,Warning,AmenityMustNotEqualAmenity,Validates that Amenities are not coincident on the same Level.
Amenity,Warning,AmenityNameAndCategoryAreSame,Validates that an Amenity does not possess a category value that matches the name value.
Amenity,Warning,AmenityNameShouldNotBeDuplicate,Validates that name values among Amenities of a particular category are distinct.
Amenity,Warning,AmenityShouldBeWithinReferencedUnit,Validates that an Amenity is within the referenced Unit.
Amenity,Warning,AmenityShouldHaveName,Validates that an Amenity with a particular category possesses a name value.
Amenity,Warning,CategoryShouldBeSameForCorrelationID,Validates that features with matching correlation ID possess the same category.
Amenity,Warning,HasOnlyAltName,"Validates that an `alt_name` value is not exclusive, that it is accompanied by a `name` value."
Amenity,Warning,PhoneMatchesUnexpectedCountryCode,Validates that a phone prefix does not match a country calling code that is unexpected for the country in which the Venue is located.
Amenity,Warning,PhoneMustBeValid,Validates that the phone is E.164 compliant.
Anchor,Info,ReferencedAddressShouldMatchBuildingAddress,Validates that an Anchor's referenced Address (non-unit-qualified Address portion) matches the Building's Address.
Anchor,Violation,AnchorMustBeWithinReferencedUnit,Validates that an Anchor is within the referenced Unit.
Anchor,Violation,AnchorMustHavePointGeometry,Validates that an Anchor is a Point geometry.
Anchor,Violation,AnchorMustReferenceUnit,Validates that an Anchor references a Unit.
Anchor,Violation,InvalidAddressReference,Validates the integrity of an Address reference.
Anchor,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Anchor,Violation,InvalidUnitReference,Validates the integrity of a Building reference.
Anchor,Violation,PointMustNotTouchLine,"Validates that a feature-type, whose geometry type is Point, does not touch a Line-String or Multi-Line String."
Anchor,Warning,AnchorMustNotEqualAnchor,Validates that Anchors are not coincident on the same Level.
Anchor,Warning,AnchorWithinUnexpectedUnit,Validates that an Anchor is within an expected Unit.
Anchor,Warning,SimilarOccupantsShouldNotRefSameAnchor,Validates that an Anchor reference is not matched among similarly named Occupants.
Building,Info,BuildingAddressResolvesToVenueAddress,Validates that a Building and Venue do not reference the same Address.
Building,Violation,BuildingCategoryMustBeValid,Validates the category assigned to a Building.
Building,Violation,BuildingHasNoLevel,Validates that a Building is referenced by at least one Level.
Building,Violation,BuildingMustHaveCategory,Validates that a Building has a category value.
Building,Violation,InvalidAddressReference,Validates the integrity of an Address reference.
Building,Violation,InvalidFeatureID,Validates that a feature ID is a valid v4 UUID value.
Building,Violation,InvalidLanguageTag,Validates that a language tag is valid value.
Building,Violation,RestrictionCategoryMustBeValid,Validates that a restriction category is valid.
